line_no,name,bits,bucket
612,CABAC_BITS__SKIP_FLAG,71361,merge_skip
613,CABAC_BITS__MERGE_FLAG,70386,merge_skip
614,CABAC_BITS__MERGE_INDEX,190010,merge_skip
615,CABAC_BITS__MVP_IDX,21169,motion
658,CABAC_BITS__SPLIT_FLAG,336121,other_syntax
669,CABAC_BITS__MODE_CONSTRAINT_FLAG,256,other_syntax
670,CABAC_BITS__PRED_MODE,3786,other_syntax
715,CABAC_BITS__INTRA_DIR_ANG,188147,other_syntax
716,CABAC_BITS__INTER_DIR,16301,motion
717,CABAC_BITS__REF_FRM_IDX,9655,motion
718,CABAC_BITS__MVD,66626,motion
719,CABAC_BITS__MVD_EP,60483,motion
720,CABAC_BITS__AFFINE_FLAG,50394,motion
721,CABAC_BITS__ISP_MODE_FLAG,29179,other_syntax
722,CABAC_BITS__ISP_SPLIT_FLAG,6837,other_syntax
723,CABAC_BITS__QT_ROOT_CBF,8897,residual
810,CABAC_BITS__QT_CBF,86435,residual
833,CABAC_BITS__JOINT_CB_CR,4190,residual
894,CABAC_BITS__MTS_FLAGS,24408,residual
977,CABAC_BITS__LAST_SIG_X_Y,331802,residual
1020,CABAC_BITS__SIG_COEFF_GROUP_FLAG,10228,residual
1098,CABAC_BITS__SIG_COEFF_MAP_FLAG,405620,residual
1174,CABAC_BITS__PAR_FLAG,169729,residual
1257,CABAC_BITS__GT1_FLAG,416528,residual
1333,CABAC_BITS__GT2_FLAG,122434,residual
1416,CABAC_BITS__SIGN_BIT,588740,residual
1488,CABAC_BITS__ESCAPE_BITS,104690,residual
1509,CABAC_BITS__SIG_COEFF_MAP_FLAG_TS,3760,residual
1530,CABAC_BITS__PAR_FLAG_TS,550,residual
1551,CABAC_BITS__GT1_FLAG_TS,1496,residual
1572,CABAC_BITS__GT2_FLAG_TS,662,residual
1593,CABAC_BITS__SIGN_BIT_TS,790,residual
1599,CABAC_BITS__ESCAPE_BITS_TS,258,residual
1600,CABAC_BITS__SAO,3218,inloop
1601,CABAC_BITS__LFNST,45038,residual
1602,CABAC_BITS__ALF,12430,inloop
1605,CABAC_BITS__OTHER,95350,other_syntax
1606,CABAC_BITS__BCW_IDX,10812,motion
1607,CABAC_BITS__SBT_MODE,16169,other_syntax
1608,CABAC_BITS__MH_INTRA_FLAG,672,other_syntax
1609,CABAC_BITS__GEO_INDEX,35403,other_syntax
1610,CABAC_BITS__MULTI_REF_LINE,24280,motion
1611,CABAC_BITS__SYMMVD_FLAG,6203,merge_skip
